
19_7_2024:14_29_30: multiTask on Arbie succeeded.
19_7_2024:14_29_34: starting multiTask on Arbie.
19_7_2024:14_30_5: multiTask on Arbie succeeded.
19_7_2024:14_30_9: starting multiTask on Arbie.
19_7_2024:14_30_43: multiTask on Arbie succeeded.
19_7_2024:14_30_47: starting multiTask on Arbie.
19_7_2024:14_31_18: multiTask on Arbie succeeded.
19_7_2024:14_31_21: starting multiTask on Arbie.
19_7_2024:14_31_52: multiTask on Arbie succeeded.
19_7_2024:14_31_56: starting multiTask on Arbie.
19_7_2024:14_32_22: multiTask on Arbie succeeded.
19_7_2024:14_32_26: starting multiTask on Arbie.
19_7_2024:14_32_51: multiTask on Arbie succeeded.
19_7_2024:14_43_30: starting multiTask on Arbie.
19_7_2024:14_43_58: multiTask on Arbie succeeded.
19_7_2024:14_54_37: starting multiTask on Arbie.
19_7_2024:14_55_4: multiTask on Arbie succeeded.
19_7_2024:15_5_42: starting multiTask on Arbie.
19_7_2024:15_6_7: multiTask on Arbie succeeded.
19_7_2024:15_16_46: starting multiTask on Arbie.
19_7_2024:15_17_11: multiTask on Arbie succeeded.
19_7_2024:15_27_50: starting multiTask on Arbie.
19_7_2024:15_28_23: multiTask on Arbie succeeded.
19_7_2024:15_38_57: starting multiTask on Arbie.
19_7_2024:15_39_23: multiTask on Arbie succeeded.
19_7_2024:15_50_4: starting multiTask on Arbie.
19_7_2024:15_50_34: multiTask on Arbie succeeded.
19_7_2024:16_1_8: starting multiTask on Arbie.
19_7_2024:16_1_41: multiTask on Arbie succeeded.
19_7_2024:16_12_10: starting multiTask on Arbie.
19_7_2024:16_12_43: multiTask on Arbie succeeded.
19_7_2024:16_23_16: starting multiTask on Arbie.
19_7_2024:16_23_41: multiTask on Arbie succeeded.
19_7_2024:16_25_17: Initalizeing task schedular
19_7_2024:16_25_17: No module named 'bs4'
19_7_2024:16_25_17: Successfully imported betfair dependencys
19_7_2024:16_25_17: Successfully imported betm dependencys
19_7_2024:16_25_17: Successfully imported boombet dependencys
19_7_2024:16_25_17: Successfully imported diamondbet dependencys
19_7_2024:16_25_17: Successfully imported ladbrokes dependencys
19_7_2024:16_25_17: Successfully imported neds dependencys
19_7_2024:16_25_17: Successfully imported palmerbet dependencys
19_7_2024:16_25_17: Successfully imported playup dependencys
19_7_2024:16_25_17: Successfully imported pointsbet dependencys
19_7_2024:16_25_17: Successfully imported sportsbett dependencys
19_7_2024:16_25_17: Successfully imported tab dependencys
19_7_2024:16_25_17: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_25_17: starting multiTask on Arbie.
19_7_2024:16_25_45: multiTask on Arbie succeeded.
19_7_2024:16_34_23: Initalizeing task schedular
19_7_2024:16_34_23: No module named 'bs4'
19_7_2024:16_34_23: Successfully imported betfair dependencys
19_7_2024:16_34_23: Successfully imported betm dependencys
19_7_2024:16_34_23: Successfully imported boombet dependencys
19_7_2024:16_34_23: Successfully imported diamondbet dependencys
19_7_2024:16_34_23: Successfully imported ladbrokes dependencys
19_7_2024:16_34_23: Successfully imported neds dependencys
19_7_2024:16_34_23: Successfully imported palmerbet dependencys
19_7_2024:16_34_23: Successfully imported playup dependencys
19_7_2024:16_34_23: Successfully imported pointsbet dependencys
19_7_2024:16_34_23: Successfully imported sportsbett dependencys
19_7_2024:16_34_23: Successfully imported tab dependencys
19_7_2024:16_34_23: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_34_23: starting multiTask on Arbie.
19_7_2024:16_34_50: multiTask on Arbie succeeded.
19_7_2024:16_35_4: Initalizeing task schedular
19_7_2024:16_35_4: No module named 'bs4'
19_7_2024:16_35_4: Successfully imported betfair dependencys
19_7_2024:16_35_4: Successfully imported betm dependencys
19_7_2024:16_35_4: Successfully imported boombet dependencys
19_7_2024:16_35_4: Successfully imported diamondbet dependencys
19_7_2024:16_35_4: Successfully imported ladbrokes dependencys
19_7_2024:16_35_4: Successfully imported neds dependencys
19_7_2024:16_35_4: Successfully imported palmerbet dependencys
19_7_2024:16_35_4: Successfully imported playup dependencys
19_7_2024:16_35_4: Successfully imported pointsbet dependencys
19_7_2024:16_35_4: Successfully imported sportsbett dependencys
19_7_2024:16_35_4: Successfully imported tab dependencys
19_7_2024:16_35_4: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_35_4: starting multiTask on Arbie.
19_7_2024:16_35_31: multiTask on Arbie succeeded.
19_7_2024:16_35_46: 'databaseOperations' object has no attribute 'conn'
19_7_2024:16_36_12: Initalizeing task schedular
19_7_2024:16_36_12: No module named 'bs4'
19_7_2024:16_36_12: Successfully imported betfair dependencys
19_7_2024:16_36_12: Successfully imported betm dependencys
19_7_2024:16_36_12: Successfully imported boombet dependencys
19_7_2024:16_36_12: Successfully imported diamondbet dependencys
19_7_2024:16_36_12: Successfully imported ladbrokes dependencys
19_7_2024:16_36_12: Successfully imported neds dependencys
19_7_2024:16_36_12: Successfully imported palmerbet dependencys
19_7_2024:16_36_12: Successfully imported playup dependencys
19_7_2024:16_36_12: Successfully imported pointsbet dependencys
19_7_2024:16_36_12: Successfully imported sportsbett dependencys
19_7_2024:16_36_12: Successfully imported tab dependencys
19_7_2024:16_36_12: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_36_12: starting multiTask on Arbie.
19_7_2024:16_36_41: multiTask on Arbie succeeded.
19_7_2024:16_37_44: Initalizeing task schedular
19_7_2024:16_37_44: No module named 'bs4'
19_7_2024:16_37_44: Successfully imported betfair dependencys
19_7_2024:16_37_44: Successfully imported betm dependencys
19_7_2024:16_37_44: Successfully imported boombet dependencys
19_7_2024:16_37_44: Successfully imported diamondbet dependencys
19_7_2024:16_37_44: Successfully imported ladbrokes dependencys
19_7_2024:16_37_44: Successfully imported neds dependencys
19_7_2024:16_37_44: Successfully imported palmerbet dependencys
19_7_2024:16_37_44: Successfully imported playup dependencys
19_7_2024:16_37_44: Successfully imported pointsbet dependencys
19_7_2024:16_37_44: Successfully imported sportsbett dependencys
19_7_2024:16_37_44: Successfully imported tab dependencys
19_7_2024:16_37_44: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_37_44: starting multiTask on Arbie.
19_7_2024:16_38_10: multiTask on Arbie succeeded.
19_7_2024:16_39_5: Initalizeing task schedular
19_7_2024:16_39_5: No module named 'bs4'
19_7_2024:16_39_5: Successfully imported betfair dependencys
19_7_2024:16_39_5: Successfully imported betm dependencys
19_7_2024:16_39_5: Successfully imported boombet dependencys
19_7_2024:16_39_5: Successfully imported diamondbet dependencys
19_7_2024:16_39_5: Successfully imported ladbrokes dependencys
19_7_2024:16_39_5: Successfully imported neds dependencys
19_7_2024:16_39_5: Successfully imported palmerbet dependencys
19_7_2024:16_39_5: Successfully imported playup dependencys
19_7_2024:16_39_5: Successfully imported pointsbet dependencys
19_7_2024:16_39_5: Successfully imported sportsbett dependencys
19_7_2024:16_39_5: Successfully imported tab dependencys
19_7_2024:16_39_5: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_39_5: starting multiTask on Arbie.
19_7_2024:16_39_44: Initalizeing task schedular
19_7_2024:16_39_44: No module named 'bs4'
19_7_2024:16_39_44: Successfully imported betfair dependencys
19_7_2024:16_39_44: Successfully imported betm dependencys
19_7_2024:16_39_44: Successfully imported boombet dependencys
19_7_2024:16_39_44: Successfully imported diamondbet dependencys
